,3950,3951,3952,3953,3954,3955
2022-06-12,4.00,2.00,2.00,2.20,6.20,2.20
2022-06-13,0,0,0,0,0,0
2022-06-14,4.00,2.00,4.00,5.25,1.75,0
2022-06-15,2.00,2.00,0,1.75,1.75,0
2022-06-16,6.30,4.00,4.00,5.70,5.70,1.75
2022-06-17,6.00,4.00,4.00,3.50,5.25,3.50
2022-06-18,4.00,2.00,2.00,2.65,3.95,1.75
2022-06-19,2.00,2.00,2.00,1.75,1.75,1.75
2022-06-20,0,0,4.30,2.20,4.40,0
2022-06-21,0,0,0,0,0,0
2022-06-22,2.30,0,2.30,3.50,3.50,0
2022-06-23,2.00,2.00,2.00,2.20,3.50,3.50
2022-06-24,13.20,8.60,13.20,15.05,10.60,7.50
2022-06-25,4.00,0,6.00,5.70,3.95,0
2022-06-26,4.00,4.00,4.00,6.60,5.75,4.40
2022-06-27,2.00,0,0,0,1.75,0
2022-06-28,2.30,0,0,1.75,0,0
2022-06-29,4.00,0,4.00,2.20,3.95,0
2022-06-30,4.00,2.30,2.30,5.25,5.25,1.75
2022-07-01,2.00,2.00,0,2.20,2.20,0
2022-07-02,6.60,4.60,8.60,9.20,9.20,3.50
2022-07-03,6.00,0,8.00,5.25,3.50,1.75
2022-07-04,6.00,0,6.00,6.60,6.60,3.50
2022-07-05,8.90,8.90,6.90,6.60,7.05,2.65
2022-07-06,2.30,0,0,1.75,0,0
2022-07-07,2.00,0,0,3.50,5.25,0
2022-07-08,0,0,0,0,0,0
2022-07-09,2.00,2.00,4.00,1.75,3.95,1.75
2022-07-10,4.00,2.00,2.00,1.75,2.65,0
2022-07-11,0,0,0,0,0,0
2022-07-12,2.30,2.00,0,0,1.75,3.50
2022-07-13,0,0,0,0,0,0
2022-07-14,10.60,6.60,6.30,6.15,8.80,1.75
2022-07-15,8.50,6.25,6.50,9.70,11.70,5.50
2022-07-16,2.25,2.25,4.85,6.00,6.00,0
2022-07-17,0,0,7.10,2.00,4.49,2.00
2022-07-18,0,0,2.25,0,2.00,0
2022-07-19,2.25,2.25,0,0,2.00,2.00
2022-07-20,4.50,2.25,4.85,2.00,2.00,2.00
2022-07-21,2.25,2.25,2.25,2.00,4.00,2.00
2022-07-22,0,0,0,0,0,0
2022-07-23,2.60,2.25,2.60,2.00,2.00,2.00
2022-07-24,0,0,0,0,0,0
2022-07-25,9.35,7.10,2.25,7.47,4.49,2.00
2022-07-26,0,0,2.25,2.00,0,0
2022-07-27,5.20,7.80,5.20,8.90,8.90,5.47
2022-07-28,0,0,0,0,0,0
2022-07-29,2.25,2.25,2.25,0,4.49,2.00
2022-07-30,2.25,2.25,2.25,2.00,4.00,2.00
2022-07-31,2.25,4.50,6.75,2.00,6.00,2.00
2022-08-01,6.75,0,2.25,4.00,2.00,0
2022-08-02,6.75,6.75,4.50,6.49,6.98,2.49
2022-08-03,4.85,2.25,2.25,2.00,2.00,2.00
2022-08-04,2.25,0,2.25,4.00,0,0
2022-08-05,2.60,0,0,0,2.00,0
2022-08-06,4.50,2.25,4.50,4.00,2.00,4.00
2022-08-07,0,0,0,2.49,2.49,0
2022-08-08,4.50,2.25,2.25,2.00,4.49,0
2022-08-09,2.25,0,0,0,0,0
2022-08-10,0,2.25,4.24,0,2.49,0
2022-08-11,0,0,2.25,0,2.49,0
2022-08-12,10.05,10.05,7.80,9.43,11.43,2.49
2022-08-13,7.10,4.50,11.25,6.49,6.00,2.00
2022-08-14,2.25,2.25,2.25,2.00,2.00,2.00
2022-08-15,2.25,0,4.50,4.00,2.00,0
2022-08-16,0,0,0,0,0,0
2022-08-17,0,0,0,0,0,0
2022-08-18,2.25,2.25,0,2.00,2.00,0
2022-08-19,4.50,2.25,2.25,2.00,6.00,2.00
2022-08-20,2.25,0,2.25,2.00,2.00,0
2022-08-21,2.25,0,4.50,4.98,2.00,0
2022-08-22,0,0,0,0,0,0
2022-08-23,0,0,0,0,0,0
2022-08-24,4.50,2.25,2.25,2.00,2.00,0
2022-08-25,0,0,0,0,0,0
2022-08-26,6.75,0,0,4.00,0,0
2022-08-27,0,0,2.25,2.00,0,0
2022-08-28,4.85,2.25,6.75,2.00,9.96,0
2022-08-29,2.25,2.25,2.25,4.00,4.00,4.00
2022-08-30,4.50,2.25,4.50,11.47,8.98,0
2022-08-31,5.20,5.20,4.85,7.96,3.47,0
2022-09-01,2.60,0,2.60,4.00,4.00,0
2022-09-02,0,0,0,0,0,0
2022-09-03,0,0,0,0,0,0
2022-09-04,0,2.25,2.25,2.00,0,0
2022-09-05,2.60,0,2.25,2.00,4.00,0
2022-09-06,2.25,2.25,2.25,2.00,2.00,0
2022-09-07,0,0,0,0,0,0
2022-09-08,2.60,2.60,0,3.47,2.49,0
2022-09-09,10.40,10.40,7.80,11.92,7.96,5.96
2022-09-10,0,0,0,0,0,0
2022-09-11,4.50,7.10,6.75,6.98,4.49,6.45
2022-09-12,4.50,2.25,0,4.98,2.00,0
2022-09-13,2.25,2.25,0,0,2.49,2.49
2022-09-14,0,0,0,0,0,0
2022-09-15,4.85,0,0,2.00,0,0
2022-09-16,7.80,9.00,9.00,10.00,7.96,6.00
2022-09-17,0,0,0,0,0,0
2022-09-18,9.00,4.85,6.75,8.98,9.96,7.47
2022-09-19,0,0,0,0,0,0
2022-09-20,7.45,7.45,7.10,11.47,9.47,6.00
2022-09-21,0,0,0,0,0,0
2022-09-22,2.25,0,2.25,0,2.00,0
2022-09-23,2.05,2.25,0,0,7.47,7.47
2022-09-24,2.25,0,7.10,2.49,6.49,2.49
2022-09-25,4.50,4.50,2.25,4.00,8.00,6.00
2022-09-26,6.75,2.25,4.50,6.00,6.00,2.00
2022-09-27,0,0,0,0,0,0
2022-09-28,10.05,13.00,10.40,12.94,11.43,8.45
2022-09-29,0,0,0,0,0,0
2022-09-30,11.95,4.50,6.75,6.00,4.49,2.00
2022-10-01,2.25,0,0,0,2.49,0
2022-10-02,2.25,4.50,4.50,6.98,2.98,3.96
2022-10-03,2.25,0,2.25,4.49,0,2.49
2022-10-04,4.10,2.25,2.60,4.00,8.98,0
2022-10-05,2.25,2.25,0,0,2.00,2.00
2022-10-06,0,0,4.70,4.00,4.00,0
2022-10-07,9.70,9.35,7.10,13.43,17.92,4.00
2022-10-08,2.25,2.25,2.60,4.00,4.00,4.00
2022-10-09,0,0,2.25,2.00,0,0
2022-10-10,7.80,7.45,5.20,4.98,5.96,2.49
2022-10-11,7.45,2.60,5.20,2.49,6.98,2.00
2022-10-12,2.25,0,2.60,2.49,2.00,0
2022-10-13,0,0,2.25,2.49,0,0
2022-10-14,7.10,4.85,9.70,7.47,7.47,6.49
2022-10-15,4.50,2.25,4.50,6.00,4.00,0
2022-10-16,2.25,2.25,0,2.49,2.49,0
2022-10-17,0,0,0,0,0,0
2022-10-18,4.50,2.25,0,0,4.49,2.00
2022-10-19,0,0,0,0,0,0
2022-10-20,2.60,0,2.60,4.98,4.49,0
2022-10-21,0,0,2.60,2.49,0,0
2022-10-22,2.60,2.25,2.25,6.00,2.00,2.00
2022-10-23,4.85,7.10,4.50,8.98,7.47,2.49
2022-10-24,0,0,0,0,0,0
2022-10-25,7.45,5.20,5.20,5.96,5.47,5.96
2022-10-26,0,0,0,0,0,0
2022-10-27,2.25,2.25,2.60,4.00,2.00,2.00
2022-10-28,9.35,6.75,11.60,12.45,8.98,10.49
2022-10-29,2.25,2.25,2.25,2.49,2.49,0
2022-10-30,4.85,7.45,7.10,9.47,8.45,4.98
2022-10-31,5.20,0,2.60,6.49,2.98,0
